time	dest	src	seqn
00:32.478	1	4	0
00:34.001	1	5	0
00:35.992	1	8	0
00:38.124	1	2	0
00:38.507	1	10	0
00:40.302	1	6	0
00:41.526	1	9	0
00:44.092	1	3	0
00:44.953	1	7	0
01:01.290	1	5	1
01:01.514	1	10	1
01:01.892	1	4	1
01:04.382	1	2	1
01:04.930	1	7	1
01:05.256	1	3	1
01:07.190	1	9	1
01:07.624	1	8	1
01:14.279	1	6	1
01:33.365	1	3	2
01:33.384	1	5	2
01:33.553	1	2	2
01:35.263	1	6	2
01:35.494	1	9	2
01:35.586	1	8	2
01:36.915	1	7	2
01:38.186	1	10	2
01:39.486	1	4	2
02:01.022	1	6	3
02:01.274	1	7	3
02:01.784	1	9	3
02:02.344	1	8	3
02:05.744	1	4	3
02:10.060	1	3	3
02:11.978	1	5	3
02:13.218	1	2	3
02:14.601	1	10	3
02:31.733	1	10	4
02:33.580	1	4	4
02:34.118	1	7	4
02:34.850	1	3	4
02:35.945	1	8	4
02:39.907	1	5	4
02:40.357	1	6	4
02:45.291	1	9	4
02:45.327	1	2	4
03:00.962	1	4	5
03:06.515	1	8	5
03:06.857	1	3	5
03:07.219	1	10	5
03:07.522	1	2	5
03:08.072	1	5	5
03:09.032	1	7	5
03:14.240	1	6	5
03:14.643	1	9	5
03:34.671	1	2	6
03:35.181	1	5	6
03:35.290	1	7	6
03:41.877	1	9	6
03:42.679	1	8	6
03:42.689	1	4	6
03:44.453	1	10	6
03:45.162	1	6	6
03:46.076	1	3	6
04:02.510	1	9	7
04:02.548	1	7	7
04:02.991	1	2	7
04:03.876	1	5	7
04:04.554	1	10	7
04:06.884	1	4	7
04:07.553	1	3	7
04:12.951	1	6	7
04:13.562	1	8	7
04:31.673	1	5	8
04:33.267	1	4	8
04:36.484	1	8	8
04:36.538	1	2	8
04:38.397	1	10	8
04:38.719	1	7	8
04:40.045	1	6	8
04:42.932	1	9	8
04:44.537	1	3	8
05:00.900	1	4	9
05:03.177	1	6	9
05:04.525	1	5	9
05:05.795	1	3	9
05:06.515	1	2	9
05:07.471	1	9	9
05:11.273	1	8	9
05:14.592	1	10	9
05:15.383	1	7	9
05:35.599	1	6	10
05:38.882	1	10	10
05:40.281	1	8	10
05:41.230	1	9	10
05:41.877	1	4	10
05:41.897	1	3	10
05:43.485	1	7	10
05:43.499	1	2	10
05:45.314	1	5	10
06:02.353	1	5	11
06:03.639	1	6	11
06:03.858	1	2	11
06:08.133	1	8	11
06:08.389	1	10	11
06:09.322	1	4	11
06:11.837	1	7	11
06:12.831	1	9	11
06:12.967	1	3	11
06:31.998	1	6	12
06:32.593	1	2	12
06:32.976	1	10	12
06:34.620	1	4	12
06:36.071	1	7	12
06:36.675	1	9	12
06:37.740	1	3	12
06:38.782	1	5	12
06:43.367	1	8	12
07:02.475	1	2	13
07:02.608	1	10	13
07:04.221	1	4	13
07:04.370	1	9	13
07:06.447	1	5	13
07:06.499	1	8	13
07:08.703	1	7	13
07:08.935	1	3	13
07:11.068	1	6	13
07:32.976	1	8	14
07:33.220	1	5	14
07:35.225	1	3	14
07:36.024	1	7	14
07:39.842	1	6	14
